Application ID,Application Code,Name,Max Criticality,Confidentiality,Integrity,Availability,Authenticity
9E219E9256027AD3,AID093,CRE,CR,CR,CR,CR,CR
9E219E92560279D7,AID079,DDR,CR,CR,CR,CR,CR
9E219E9256027AF5,AID096,T7 FIX Gateway,CR,CR,CR,CR,CR
9E219E92560279FD,AID080,Import/PI2,CR,CR,CR,CR,CR
9E219E9356027C25,AID140,PM/ICSD,CR,CR,CR,CR,CR
9E219E9356027C3C,AID154,SAP ERP,CR,CR,CR,CR,CR
9E219E9356027C46,AID176,Data on Demand Initiative,MA,MA,MA,MA,MA
9E219E9356027C61,AID181,F7,CR,MA,CR,CR,CR
9E219E9356027B88,AID106,OPM,CR,CR,MI,MI,MI
9E219E9356027BC4,AID118,SCILA Surveillance (HüSt only),CR,CR,CR,CR,CR
,,,,,,,
9E219E9356027BDB,AID130,MD+S Interactive,MI,MI,MI,MI,MI
9E219E9456027D2C,AID187,4Sight/C4I,CR,CR,CR,CR,CR
9E219E9456027D54,AID188,Tax Cluster,CR,CR,CR,CR,CR
3F233F4C5AE37322,AID407,DEFTAX,N,N,N,N,N
D625FC1B59B82D3F,AID310,Black Duck Hub,N,N,N,N,N
7A287BBA58BD248E,AID279,HYDRA Access Control,CR,CR,MA,CR,MA
352942705A6B483D,AID335,Hedgehog,CR,CR,CR,CR,MA
352938B85A6B466B,AID333,Market Data Hub,MA,MI,MA,MA,MI
352935C95A6B4310,AID332,Margin Estimator,N,N,N,N,N
352941DF5A6B4759,AID334,DAVe,CR,CR,CR,CR,MA
912A916C590C3EBC,AID293,XIS2,MA,MA,MA,MA,MA
EE2A04F258595252,AID261,MEGA (EA-Tool),CR,CR,CR,MA,CR
FE2FFE7C5AEA3BC1,AID411,MC& T Connector Modules,N,N,N,N,N
0530060B5A2532B5,AID321,Avanon,MA,MA,MI,MI,MI
,,,,,,,
,,,,,,,
2543259E5ACB312E,AID391,Qlik,N,N,N,N,N
BA4ABC3C5ACD2D50,AID392,Digital Content Processing,N,N,N,N,N
A44BA57C5AF219AD,AID429,ITSecIAM,CR,CR,CR,MA,MA
A44BA5B65AF21A0B,AID430,ITSecGovernance,CR,CR,MA,MA,MA
364F38DA57926722,AID257,Elements,N,N,N,N,N
60519FE6584A178C,AID259,StoxxDB,MA,MA,MA,MA,MA
1B521BAB5AE74543,AID408,MSD,N,N,N,N,N
1B521CD95AE746B7,AID409,Tax Services,N,N,N,N,N
D053F02459A73FCA,AID307,audimexEE,CR,CR,CR,MI,CR
D053D33359A73913,AID304,SAP Concur,MI,MI,MI,MI,MI
D053D5D459A73DCA,AID306,SAP Success Factors,MA,MA,MI,MI,MI
D053D3DD59A73BBB,AID305,SAP Ariba,MI,MI,MI,MI,MI
245624975B295B56,AID452,Nice Actimize,N,N,N,N,N
4D5A4DFB5A62610D,AID330,TOSCA RPA,CR,CR,CR,CR,CR
,,,,,,,
,,,,,,,
,,,,,,,
6A5A6C63586A6604,AID262,SAP ILM,CR,CR,CR,MA,CR
,,,,,,,
7F5F801659F80A09,AID131,Intact,N,N,N,N,N
B263B5ED5AF226BA,AID431,SCILA Surveillance (Compliance Trends and Patterns Monitoring for CBL/CBFi/LuxCSD only),N,N,N,N,N
D6651C0A59D64778,AID312,Appway_EDT,N,N,N,N,N
